stationCode,stationName,name,stationAddrTw,stationTel,gps,haveBike
900,基隆,基隆,基隆市仁愛區港西街5號,02-24263743,25.13411 121.73997,Y
910,三坑,三坑,基隆市仁愛區德厚里龍安街 206 號,02-24230289,25.12305 121.74202,Y
920,八堵,八堵,基隆市暖暖區八南里八堵路 142 號,02-24560841,25.10843 121.72898,Y
930,七堵,七堵,基隆市七堵區長興里東新街 2 號,02-24553426,25.09294 121.71415,Y
940,百福,百福,基隆市七堵區堵南里明德三路 1 之 1 號,02-24528372,25.07795 121.69379,N
950,五堵,五堵,新北市汐止區長安里長安路 17 號,02-86476200,25.07784 121.66764,Y
960,汐止,汐止,新北市汐止區信望里信義路 1 號,02-26415096,25.06814 121.66121,Y
970,汐科,汐科,新北市汐止區大同里大同路二段 182 號,02-26499817#8730,25.06261 121.64659,N
980,南港,南港,臺北市南港區南港里南港路一段 313 號 B2,02-27838645,25.05348 121.60706,Y
990,松山,松山,臺北市信義區松山路 11 號B1,02-27673819,25.04921 121.57841,Y
1000,臺北,臺北,臺北市中正區黎明里北平西路 3 號,02-23713558,25.04771 121.51784,N
1001,臺北-環島,臺北-環島,臺北市中正區,,25.04811 121.51793,N
1010,萬華,萬華,臺北市萬華區富福里康定路 382 號,02-23020481,25.03348 121.49984,Y
1020,板橋,板橋,新北市板橋區新民里縣民大道二段 7 號　,02-89691036,25.01404 121.46403,Y
1030,浮洲,浮洲,新北市板橋區僑中里僑中二街 156 號,02-23815226#4665,25.00419 121.44477,N
1040,樹林,樹林,新北市樹林區樹北里鎮前街 112 號,02-26812052,24.99121 121.42481,Y
1050,南樹林,南樹林,新北市樹林區東山里中山路二段 230 號,02-26812052,24.98034 121.40891,N
1060,山佳,山佳,新北市樹林區中山里山佳街 28 號,02-26808874,24.97233 121.39273,N
1070,鶯歌,鶯歌,新北市鶯歌區東鶯里文化路 68-1號,02-26792004,24.95432 121.35535,Y
1080,桃園,桃園,桃園市桃園區武陵里中正路 1 號,03-3767050,24.98941 121.31399,Y
1090,內壢,內壢,桃園市中壢區中原里中華路一段 267 號,03-4559725,24.97281 121.25826,N
1100,中壢,中壢,桃園市中壢區石頭里中和路 139 號,03-4223235,24.95364 121.22559,Y
1110,埔心,埔心,桃園市楊梅區埔心里永美路 208 號,03-4827100,24.91945 121.18366,Y
1120,楊梅,楊梅,桃園市楊梅區楊梅里大成路 256 號,03-4782893,24.91434 121.14645,Y
1130,富岡,富岡,桃園市楊梅區富岡里成功路 37 號,03-4723754,24.93456 121.08304,Y
1140,新富,新富,桃園市楊梅區富豐里富全街 1 號,03-4723754,24.93107 121.06759,N
1150,北湖,北湖,新竹縣湖口鄉東興村北湖路 1 號,03-5993850,24.92191 121.05586,Y
1160,湖口,湖口,新竹縣湖口鄉仁勢村中山路二段 121 號,03-5992192,24.90292 121.04412,Y
1170,新豐,新豐,新竹縣新豐鄉山崎村新興路 202 號,03-5596314,24.86961 120.99654,Y
1180,竹北,竹北,新竹縣竹北市竹義里和平街 59 號,03-5552024,24.83892 121.00936,Y
1190,北新竹,北新竹,新竹市 東區東園里中華路一段 291 之 2 號,03-5237441,25.07794 121.69378,N
1191,千甲,千甲,新竹市 東區水源里千甲路 142 號,03-5237441,24.80669 121.00301,N
1192,新莊,新莊,新竹市 東區新莊里關東路 310 號,03-5237441,24.78819 121.02182,N
1193,竹中,竹中,新竹縣竹東鎮頭重里竹中路 145 號,03-5962042,24.78141 121.03138,N
1194,六家,六家,新竹縣竹北市隘口里復興三路二段 229 號,03-5962042,24.80766 121.03941,N
1201,上員,上員,新竹縣竹東鎮上員里光明路 (無站房),03-5962042,24.77776 121.05582,N
1202,榮華,榮華,新竹縣竹東鎮仁愛里北興路 (無站房),03-5962042,24.74839 121.08319,N
1203,竹東,竹東,新竹縣竹東鎮雞林里東林路 196 號,03-5962042,24.73823 121.09472,N
1204,橫山,橫山,新竹縣橫山鄉橫山村橫山路 97 號 (無站房),03-5962042,24.72041 121.11772,N
1205,九讚頭,九讚頭,新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,03-5962042,24.72062 121.13622,N
1206,合興,合興,新竹縣橫山鄉力行村中山街一段 17 號,03-5962042,24.71667 121.15437,N
1207,富貴,富貴,新竹縣橫山鄉豐田村中山街一段 (無站房),03-5962042,24.71559 121.16732,N
1208,內灣,內灣,新竹縣橫山鄉內灣村中正路 6 號,03-5962042,24.70535 121.18255,N
1210,新竹,新竹,新竹市 東區榮光里中華路二段 445 號,03-5237441,24.80172 120.97166,Y
1220,三姓橋,三姓橋,新竹市 香山區香山里元培街 32 巷 30 號,03-5237441,24.78734 120.92846,Y
1230,香山,香山,新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,03-5237441,24.76321 120.91391,Y
1240,崎頂,崎頂,苗栗縣竹南鎮崎頂里北戶 55 號,037-472030,24.72291 120.87183,N
1250,竹南,竹南,苗栗縣竹南鎮竹南里中山路 166 號,037-472030,24.68663 120.88041,Y
2110,談文,談文,苗栗縣造橋鄉談文村仁愛路 29 號,037-472030,24.65641 120.85825,N
2120,大山,大山,苗栗縣後龍鎮大山里明山路 180 號,037-431208,24.64565 120.80376,N
2130,後龍,後龍,苗栗縣後龍鎮北龍里車站街 127-2 號,037-728616,24.61621 120.78731,Y
2140,龍港,龍港,苗栗縣後龍鎮龍京里公司寮 85 號,037-728616,24.61169 120.75812,N
2150,白沙屯,白沙屯,苗栗縣通霄鎮白西里白西 131 號,037-793066,24.56481 120.70824,Y
2160,新埔,新埔,苗栗縣通霄鎮新埔里新埔 57 號,037-793066,24.54018 120.69518,N
2170,通霄,通霄,苗栗縣通霄鎮通西里中正路 109 號,037-758300,24.49141 120.67843,Y
2180,苑裡,苑裡,苗栗縣苑裡鎮苑北里中山路 165 號,037-851013,24.44344 120.65146,Y
2190,日南,日南,臺中市大甲區孟春里中山路二段 140 巷 8 號,04-26816113,24.37805 120.65412,Y
2200,大甲,大甲,臺中市大甲區大甲里中山路一段 828 號,04-26872022,24.34448 120.62702,Y
2210,臺中港,臺中港,臺中市清水區頂湳里甲南路 2 號,04-26225374,24.30441 120.60231,N
2220,清水,清水,臺中市清水區南社里中正街 115 號,04-26222021,24.26364 120.56918,Y
2230,沙鹿,沙鹿,臺中市沙鹿區沙鹿里中正街 94 號,04-26625057,24.23702 120.55752,Y
2240,龍井,龍井,臺中市龍井區龍泉里龍新路 1 號,04-26355578,24.19748 120.54335,Y
2250,大肚,大肚,臺中市大肚區頂街里平和街 121 號,04-26992523,24.15441 120.54255,Y
2260,追分,追分,臺中市大肚區王田里追分街 13 號,04-26933106,24.12051 120.57018,N
3140,造橋,造橋,苗栗縣造橋鄉造橋村平仁路 54 號,037-472030,24.64186 120.86721,N
3150,豐富,豐富,苗栗縣後龍鎮校椅里高鐵一路 66 號,037-726700,24.60442 120.82636,Y
3160,苗栗,苗栗,苗栗縣苗栗市上苗里為公路 1 號,037-260031,24.57008 120.82233,Y
3170,南勢,南勢,苗栗縣苗栗市新英里南勢 39 號,037-260031,24.52268 120.79154,N
3180,銅鑼,銅鑼,苗栗縣銅鑼鄉銅鑼村大同路 13 號,037-983838,24.48648 120.78616,Y
3190,三義,三義,苗栗縣三義鄉雙湖村雙湖 90 號,037-874763,24.42066 120.77393,Y
3210,泰安,泰安,臺中市后里區泰安里安眉路 37 之 12 號,04-25586540,24.33146 120.74181,N
3220,后里,后里,臺中市后里區義里里甲后路一段 1 號,04-25562038,24.30933 120.73288,Y
3230,豐原,豐原,臺中市豐原區豐原里中正路 1-1號,04-25207950#32,24.25431 120.72351,Y
3240,栗林,栗林,臺中市潭子區潭豐路二段747號,04-25391401,24.23481 120.71069,Y
3250,潭子,潭子,臺中市潭子區中山路二段352-1號,04-25363852,24.21255 120.70584,Y
3260,頭家厝,頭家厝,臺中市潭子區頭張東路43巷8號,04-25391426,24.19572 120.70398,N
3270,松竹,松竹,臺中市北屯區舊社里松竹路一段1473巷100號,04-22473033,24.18045 120.70197,Y
3280,太原,太原,臺中市北屯區北興里東光路 665 號,04-22313926,24.16449 120.69988,Y
3290,精武,精武,臺中市東區東南里東光路 161號,04-23606501,24.14928 120.69777,Y
3300,臺中,臺中,臺中市中區綠川里臺灣大道一段 1 號,04-22227236,24.13747 120.68691,Y
3310,五權,五權,臺中市南區建國南路二段201號,04-22601636,24.12892 120.66657,Y
3320,大慶,大慶,臺中市南區樹德里7鄰大慶街2段130號,04-22637940,24.11911 120.64795,Y
3330,烏日,烏日,臺中市烏日區烏日里三民街 258 號,04-23381071,24.10867 120.62244,N
3340,新烏日,新烏日,臺中市烏日區三和里高鐵東一路 26 號,04-23376883,24.10937 120.61421,Y
3350,成功,成功,臺中市烏日區榮泉里中山路三段 550 號,04-23371986,24.11424 120.59021,Y
3360,彰化,彰化,彰化縣彰化市長樂里三民路 1 號,04-7274218#11,24.08177 120.53854,Y
3370,花壇,花壇,彰化縣花壇鄉花壇村中正路 370 號,04-7881418,24.08173 120.53833,Y
3380,大村,大村,彰化縣大村鄉過溝村福進路 100 號,04-8525148,23.99003 120.56068,N
3390,員林,員林,彰化縣員林市和平里民權街55 號,04-8320544#15,23.95932 120.56982,Y
3400,永靖,永靖,彰化縣永靖鄉崙子村崙饒路25 號,04-8320544#15,23.92817 120.57167,N
3410,社頭,社頭,彰化縣社頭鄉廣興村社站路 10 號,04-8711646,23.89571 120.58082,Y
3420,田中,田中,彰化縣田中鎮中路里中州路一段 1 號,04-8742142,23.85827 120.59121,Y
3430,二水,二水,彰化縣二水鄉光化村光文路 1 號,04-8792027,23.81321 120.61805,Y
3431,源泉,源泉,彰化縣二水鄉合興村英義路 (無站房),04-8792027,23.79846 120.64208,N
3432,濁水,濁水,南投縣名間鄉濁水村車站路 15 號,049-2735850,23.83467 120.70467,N
3433,龍泉,龍泉,南投縣集集鎮隘寮村龍泉巷 (無站房),04-8792027,23.83521 120.74996,N
3434,集集,集集,南投縣集集鎮吳厝里民生路 75 號,049-2762546,23.82653 120.78491,N
3435,水里,水里,南投縣水里鄉水里村民生路 440 號,049-2770015,23.81851 120.85331,N
3436,車埕,車埕,南投縣水里鄉車埕村民權巷 2 號,049-2774749,23.83263 120.86572,N
3450,林內,林內,雲林縣林內鄉林中村中山路 42 號,05-5892040,23.75967 120.61499,Y
3460,石榴,石榴,雲林縣斗六市榴北里文明路 31 號,05-5332900,23.73167 120.57998,N
3470,斗六,斗六,雲林縣斗六市信義里民生路 187 號,05-5332900,23.71157 120.54117,Y
3480,斗南,斗南,雲林縣斗南鎮南昌里中山路 2 號,05-5972039,23.67269 120.48072,Y
3490,石龜,石龜,雲林縣斗南鎮石龜里,05-5972039,23.63951 120.47106,N
4050,大林,大林,嘉義縣大林鎮吉林里中山路 2 號,05-2654804,23.60112 120.45585,Y
4060,民雄,民雄,嘉義縣民雄鄉東榮村和平路 2 號,05-2264272,23.55502 120.43136,Y
4070,嘉北,嘉北,嘉義市 東區後湖里保建街 110 號,05-2334584,23.49985 120.44852,N
4080,嘉義,嘉義,嘉義市 西區番社里中山路 528 號,05-2228904,23.47902 120.44124,Y
4090,水上,水上,嘉義縣水上鄉下寮村鴿溪寮 49 號,05-2228904,23.43389 120.39961,N
4100,南靖,南靖,嘉義縣水上鄉三鎮村三鎮路 26 號,05-2601232,23.41346 120.38647,N
4110,後壁,後壁,臺南市後壁區後壁里後壁 77 號,06-6872055,23.36626 120.36058,N
4120,新營,新營,臺南市新營區中營里中山路 1 號,06-6322104,23.30673 120.32307,Y
4130,柳營,柳營,臺南市柳營區東昇里建國路 1 號,06-6226450,23.27762 120.32252,N
4140,林鳳營,林鳳營,臺南市六甲區中社里林鳳營 16 號,06-6986086,23.24259 120.32107,N
4150,隆田,隆田,臺南市官田區隆田里中山路一段 1 號,06-5791664,23.19271 120.31917,Y
4160,拔林,拔林,臺南市官田區拔林里拔子林 83 之 1 號,06-5791664,23.17287 120.32117,N
4170,善化,善化,臺南市善化區光文里中山路 1 號,06-5837301,23.13333 120.30653,Y
4180,南科,南科,臺南市新市區大營里大營 287-300 號,06-5896356,23.10714 120.30175,N
4190,新市,新市,臺南市新市區新和里中華路 1 號,06-5996911,23.06816 120.29004,Y
4200,永康,永康,臺南市永康區埔園里中山路 459 號,06-2323305,23.03825 120.25347,Y
4210,大橋,大橋,臺南市永康區西橋里中華路 835 號,06-3021755,23.01923 120.22429,N
4220,臺南,臺南,臺南市東區成大里北門路二段4號,06-2261314,22.99719 120.21249,Y
4250,保安,保安,臺南市仁德區保安里文賢路一段 529 巷 10 號,06-2665988,22.93296 120.23158,Y
4260,仁德,仁德,臺南市仁德區保安里永德路 10 號,06-2669383,22.92364 120.24061,N
4270,中洲,中洲,臺南市仁德區中洲五街236號,06-2667191,22.90466 120.25286,Y
4271,長榮大學,長榮大學,臺南市歸仁區大潭里長大路15 號,06-2782615,22.90735 120.27274,N
4272,沙崙,沙崙,臺南市歸仁區沙崙里歸仁大道 102 號,06-3032686,22.92419 120.28635,N
4290,大湖,大湖,高雄市路竹區甲南里天祐路 24 號,07-6932127,22.87821 120.25384,Y
4300,路竹,路竹,高雄市路竹區竹南里中正路 288 號,07-6072723,22.85404 120.26619,Y
4310,岡山,岡山,高雄市岡山區碧紅里岡燕路 111 號,07-6212074,22.79224 120.29991,Y
4320,橋頭,橋頭,高雄市橋頭區橋頭里站前街 14 號,07-6115424,22.76098 120.31011,Y
4330,楠梓,楠梓,高雄市楠梓區惠楠里建楠路 229 號,07-3510175,22.72717 120.32453,Y
4340,新左營,新左營,高雄市左營區尾北里站前北路 1 號,07-5887825,22.68754 120.30678,Y
4350,左營,左營,高雄市左營區翠華路1050號地下1層,07-5887835,22.67447 120.29401,N
4360,內惟,內惟,高雄市鼓山區翠華路500號地下1層,07-5886119,22.66592 120.28711,N
4370,美術館,美術館,高雄市鼓山區翠華路246號,07-5215147,22.65235 120.28153,Y
4380,鼓山,鼓山,高雄市鼓山區鐵路街20巷6號,07-5217014,22.64203 120.28076,N
4390,三塊厝,三塊厝,高雄市三民區德北里6鄰康平街1號,07-2856234,22.63936 120.29407,N
4400,高雄,高雄,高雄市三民區港西里建國二路 318 號,07-2352376,22.63965 120.30264,Y
4410,民族,民族,高雄市三民區博惠里14鄰凱旋一路260號,07-2231492,22.63911 120.31491,N
4420,科工館,科工館,高雄市三民區寶盛里15鄰大順三路307號,07-2234778,22.63732 120.32606,N
4430,正義,正義,高雄市苓雅區建軍里正義路 308 號 B1,07-7999818,22.63425 120.34245,N
4440,鳳山,鳳山,高雄市鳳山區曹公里曹公路 137 號,07-7460423,22.63131 120.35746,Y
4450,後庄,後庄,高雄市大寮區後庄里民慶街 9 號,07-7020149,22.64013 120.39132,N
4460,九曲堂,九曲堂,高雄市大樹區久堂里久堂路鐵路巷 15 號,07-6512020,22.65658 120.42072,Y
4470,六塊厝,六塊厝,屏東縣屏東市長安里光復路 392 號,08-7515140,22.66597 120.46497,N
5000,屏東,屏東,屏東縣屏東市擇仁里公勇路 62 號,08-7515140,22.66895 120.48608,Y
5010,歸來,歸來,屏東縣屏東市歸來里歸仁路 5 之 4 號,08-7515140,22.65218 120.50283,N
5020,麟洛,麟洛,屏東縣麟洛鄉田道村中華路站前巷 15 號,08-7515140,22.63481 120.51432,N
5030,西勢,西勢,屏東縣竹田鄉西勢村西豐路 2 號,08-7784521,22.61661 120.52677,Y
5040,竹田,竹田,屏東縣竹田鄉履豐村豐明路29 號,08-7711002,22.58648 120.54009,N
5050,潮州,潮州,屏東縣潮州鎮新榮里信義路 111 號,08-7882739,22.55007 120.53662,Y
5060,崁頂,崁頂,屏東縣崁頂鄉崁頂村中正路 122 號,08-7882739,22.51311 120.51481,N
5070,南州,南州,屏東縣南州鄉仁里村仁里路 86 號,08-8642942,22.49207 120.51174,Y
5080,鎮安,鎮安,屏東縣林邊鄉鎮安村永和路 4 號,08-8642942,22.45794 120.51151,N
5090,林邊,林邊,屏東縣林邊鄉仁和村仁愛路 33 號,08-8751475,22.43141 120.51538,Y
5100,佳冬,佳冬,屏東縣佳冬鄉六根村復興路21號,08-8662939,22.41416 120.54782,N
5110,東海,東海,屏東縣枋寮鄉東海村西安路 92 號,08-8782041,22.39903 120.57252,N
5120,枋寮,枋寮,屏東縣枋寮鄉枋寮村儲運路 18 號,08-8782041,22.36786 120.59501,Y
5130,加祿,加祿,屏東縣枋山鄉加祿村會社 53 號,08-8720791,22.33085 120.62445,Y
5140,內獅,內獅,屏東縣枋山鄉加祿村南和 43 號,08-8720791,22.30615 120.64322,N
5160,枋山,枋山,屏東縣獅子鄉內獅村內獅巷 84 號,08-8720791,22.26677 120.65968,N
5170,枋野,枋野,屏東縣獅子鄉內獅村內獅巷 88 號,08-8761953,22.28091 120.71709,N
5190,大武,大武,臺東縣大武鄉大鳥村和平部落 33 號,089-792056,22.36523 120.90081,Y
5200,瀧溪,瀧溪,臺東縣太麻里鄉多良村大溪 37 號,089-761482,22.46102 120.94176,Y
5210,金崙,金崙,臺東縣太麻里鄉金崙村金崙 47 之 17 號,089-771068,22.53161 120.96721,Y
5220,太麻里,太麻里,臺東縣太麻里鄉大王村站前路 2 號,089-781544,22.61881 121.00502,Y
5230,知本,知本,臺東縣臺東市知本里知本路二段 900 巷 85 號,089-514482,22.71022 121.06068,Y
5240,康樂,康樂,臺東縣臺東市康樂里博物館路 51 巷 131 號,089-383107,22.76431 121.09355,Y
5998,南方小站,南方小站,屏東縣潮州鎮光復路 461 號,,22.52755 120.53658,N
5999,潮州基地,潮州基地,屏東縣潮州鎮光春里光復路 616 號,08-7889880,22.52231 120.52642,N
6000,臺東,臺東,臺東縣臺東市岩灣里岩灣路 101 巷 598 號,089-229687,22.79376 121.12311,Y
6010,山里,山里,臺東縣卑南鄉嘉豐村山里路 108 號,089-572370,22.86194 121.13778,N
6020,鹿野,鹿野,臺東縣鹿野鄉鹿野村中正路 38 號,089-550217,22.91251 121.13696,Y
6030,瑞源,瑞源,臺東縣鹿野鄉瑞源村瑞景路一段 336 巷 8 號 之 1,089-580159,22.95613 121.15902,Y
6040,瑞和,瑞和,臺東縣鹿野鄉瑞和村瑞景路三段 1 之 1 號,089-580159,22.98111 121.15584,N
6050,關山,關山,臺東縣關山鎮里壠里博愛路 2 號,089-811033,23.04564 121.16441,Y
6060,海端,海端,臺東縣關山鎮德高里西莊 49 號,089-811033,23.10292 121.17676,N
6070,池上,池上,臺東縣池上鄉福文村鐵花路 30 號,089-862097,23.12605 121.21956,Y
6080,富里,富里,花蓮縣富里鄉富里村車站街 56 號,03-8831771,23.17916 121.24865,Y
6090,東竹,東竹,花蓮縣富里鄉新興村新興 26 號,03-8821504,23.22605 121.27842,Y
6100,東里,東里,花蓮縣富里鄉東里村大莊路 15 之 6 號,03-8861005,23.27233 121.30425,Y
6110,玉里,玉里,花蓮縣玉里鎮中城里康樂街 39 號,03-8882020,23.33154 121.31172,Y
6120,三民,三民,花蓮縣玉里鎮三民里三民 10 號,03-8841847,23.42455 121.34541,N
6130,瑞穗,瑞穗,花蓮縣瑞穗鄉瑞穗村四維街 13 號,03-8875039,23.49741 121.37684,Y
6140,富源,富源,花蓮縣瑞穗鄉富源村富源路 2 號,03-8811824,23.58031 121.38008,Y
6150,大富,大富,花蓮縣光復鄉大富村明德路 1 號,03-8811824,23.60571 121.38963,N
6160,光復,光復,花蓮縣光復鄉大安村中正路一段 2 之 1 號,03-8704143,23.66631 121.42116,Y
6170,萬榮,萬榮,花蓮縣鳳林鎮長橋里長德街 17 號,03-8752175,23.71199 121.41907,Y
6180,鳳林,鳳林,花蓮縣鳳林鎮鳳智里中山路 43 號,03-8762004,23.74636 121.44711,Y
6190,南平,南平,花蓮縣鳳林鎮南平里自強路 233 號,03-8771597,23.78231 121.45824,Y
6200,林榮新光,林榮新光,花蓮縣鳳林鎮兆豐路800號,03-8772677,23.80225 121.46205,Y
6210,豐田,豐田,花蓮縣壽豐鄉豐山村站前街 36 號,03-8654251,23.84842 121.49618,N
6220,壽豐,壽豐,花蓮縣壽豐鄉壽豐村壽山路 1 號,03-8653706,23.86901 121.51064,Y
6230,平和,平和,花蓮縣壽豐鄉平和村平和路 1 號,03-8653706,23.88279 121.52045,N
6240,志學,志學,花蓮縣壽豐鄉志學村中正路 1 號,03-8662966,23.90751 121.52947,Y
6250,吉安,吉安,花蓮縣吉安鄉南昌村南昌路1號,03-8539423,23.96817 121.58267,Y
7000,花蓮,花蓮,花蓮縣花蓮市國聯里國聯一路 100 號,03-8355941,23.99264 121.60158,Y
7010,北埔,北埔,花蓮縣新城鄉北埔村自強街 113 號,03-8263809,24.03253 121.60166,N
7020,景美,景美,花蓮縣秀林鄉景美村加灣 178 之 1 號,03-8611237,24.09039 121.61193,N
7030,新城,新城,花蓮縣新城鄉新城村新興一路 73 號,03-8611237,24.12754 121.64087,Y
7040,崇德,崇德,花蓮縣秀林鄉崇德村海濱路 96 號,03-8621365,24.17199 121.65536,Y
7050,和仁,和仁,花蓮縣秀林鄉和平村和仁 71 號,03-8681221,24.24219 121.71192,N
7060,和平,和平,花蓮縣秀林鄉和平村和平 276 號,03-8681009,24.29831 121.75334,Y
7070,漢本,漢本,宜蘭縣南澳鄉澳花村蘇花路一段 56 號,03-9985238,24.33542 121.76829,N
7080,武塔,武塔,宜蘭縣南澳鄉武塔村新溪路 18 號,03-9981971,24.44879 121.77601,N
7090,南澳,南澳,宜蘭縣蘇澳鎮南強里大通路 22 號,03-9981971,24.46342 121.80103,Y
7100,東澳,東澳,宜蘭縣南澳鄉東岳村東岳路 1 號,03-9986053,24.51827 121.83072,Y
7110,永樂,永樂,宜蘭縣蘇澳鎮永樂里圳頭路 60 號,03-9961889,24.56843 121.84458,N
7120,蘇澳,蘇澳,宜蘭縣蘇澳鎮蘇南里太平路 1 號,03-9962028,24.59516 121.85143,Y
7130,蘇澳新,蘇澳新,宜蘭縣蘇澳鎮聖愛里中山路二段 238 號,03-9961004,24.60852 121.82735,Y
7140,新馬,新馬,宜蘭縣蘇澳鎮新城里中山路二段 322 號,03-9961004,24.61535 121.82292,N
7150,冬山,冬山,宜蘭縣冬山鄉冬山村中正路 1 號,03-9594221,24.63633 121.79211,Y
7160,羅東,羅東,宜蘭縣羅東鎮大新里公正路 2 號,03-9542117,24.67795 121.77424,Y
7170,中里,中里,宜蘭縣五結鄉中興村台興路 10 號,03-9542117,24.69415 121.77526,N
7180,二結,二結,宜蘭縣五結鄉五結中路三段658巷8號,03-9650304,24.70528 121.77409,N
7190,宜蘭,宜蘭,宜蘭縣宜蘭市和睦里光復路 1 號,03-9323801,24.75462 121.75791,Y
7200,四城,四城,宜蘭縣礁溪鄉吳沙村站前路 24 號,03-9282449,24.78681 121.76271,N
7210,礁溪,礁溪,宜蘭縣礁溪鄉德陽村溫泉路 1 號,03-9886940,24.82703 121.77535,Y
7220,頂埔,頂埔,宜蘭縣頭城鎮下埔里下埔路 4 之 8 號,03-9771429,24.84398 121.80917,N
7230,頭城,頭城,宜蘭縣頭城鎮纘祥路 59 號,03-9771429,24.85898 121.82253,Y
7240,外澳,外澳,宜蘭縣頭城鎮濱海路二段 217 號,03-9771429,24.88367 121.84581,N
7250,龜山,龜山,宜蘭縣頭城鎮更新里濱海路三段 261 號,03-9770351,24.90486 121.86891,N
7260,大溪,大溪,宜蘭縣頭城鎮濱海路五段 63 號,03-9771429,24.93834 121.88991,N
7270,大里,大里,宜蘭縣頭城鎮大里里濱海路六段 326 號,03-9781171,24.96688 121.92257,N
7280,石城,石城,宜蘭縣頭城鎮濱海路七段 230 號,03-9771429,24.97832 121.94507,N
7290,福隆,福隆,新北市貢寮區福隆里福隆街 2 號,02-24991800,25.01595 121.94471,Y
7300,貢寮,貢寮,新北市貢寮區貢寮里朝陽街 33 號,02-24941500,25.02209 121.90868,Y
7310,雙溪,雙溪,新北市雙溪區新基里朝陽街 1 號,02-24932980,25.03867 121.86648,Y
7320,牡丹,牡丹,新北市雙溪區牡丹里51號,02-24932980,25.05873 121.85194,N
7330,三貂嶺,三貂嶺,新北市瑞芳區碩仁里魚寮路 1 號,02-24977896,25.06561 121.82258,N
7331,大華,大華,新北市平溪區南山里六分 12 之 1 號,02-24972033,25.04993 121.79751,N
7332,十分,十分,新北市平溪區十分里十分街 51 號,02-24958307,25.04111 121.77514,N
7333,望古,望古,新北市平溪區望古里 (無站房),02-24972033,25.03445 121.76349,N
7334,嶺腳,嶺腳,新北市平溪區嶺腳里嶺腳寮 22 號,02-24972033,25.03021 121.74794,N
7335,平溪,平溪,新北市平溪區平溪里中華街 12 號,02-24972033,25.02552 121.73994,N
7336,菁桐,菁桐,新北市平溪區菁桐里菁桐街 52 號,02-24972033,25.02384 121.72394,N
7350,猴硐,猴硐,新北市瑞芳區光復里柴寮路 70 號,02-24977747,25.08711 121.82741,Y
7360,瑞芳,瑞芳,新北市瑞芳區龍潭里明燈路三段 82 號,02-24972033,25.10861 121.80596,Y
7361,海科館,海科館,基隆市中正區長潭里,02-24972033,25.13754 121.79997,N
7362,八斗子,八斗子,新北市瑞芳區建基路2段121號隔壁 砂子里省道臺 2 線 (與新北市瑞芳區交界處、無站房),02-24972033,25.13545 121.80261,N
7380,四腳亭,四腳亭,新北市瑞芳區吉慶里中央路 65 號,02-24579346,25.10283 121.76192,N
7390,暖暖,暖暖,基隆市暖暖區暖暖里暖暖街 51 號,02-24972033,25.10224 121.74048,N
